exhaustive, 徹底的な、網羅的な、疲れはてさせるような
across, 横切る
camp, キャンプ、陣営
club, クラブ
computation, 計算
back, 後ろに
dinner, 夕食
defect, 敗北・欠点・欠乏
arm, 腕
hill, 丘
claim, 要求する、主張する、占有する
bother, 悩ます、うざく感じる
idea, 考え
exceed, 越える、優る、卓越する
crisis, 危機
hut, 小屋; 【軍】仮兵舎
announce, 知らせる、示す、発表する
deprive, 奪う
conversely, 逆に
couch, ソファー, カウチ
fluid, 流体; 体液; 流動物
extreme, 極端、極端な
exclusive, 除外的な, 排他的な; （クラブなど）非開放的な
constrain, 〜に強制する、〜を束縛する、無理に〜させる
detached, 引き離された、客観的な
afraid, 恐れて
backward, 後方へ
girl, 女の子
fuzzy, 不明瞭な
ask, 聞く、尋ねる
first, 第一の, 最初の; 主要な; 首位の; 最上の;
fur, 毛皮
attach, 付ける、とりつける
draw, 引く、描く
fool, 馬鹿
bring, 持ってくる、連れて来る
away, 離れて
holiday, 休日
bridegroom, 新郎さん
coin, 貨幣
classical, 古典的な
each, それぞれの
cloak, （そでなし）外とう, マント, クローク; 仮面; 口実
fine, 細かい
deceit, 虚偽, いつわり; 詐欺, 策謀
ago, 以前に、前に
help, 助ける
different, 異なる
brightly, 明るく，あざやかに
fitness, 健康、適合
exhibit, 展示する
cause, 引き起こす、もたらす
etiquette, エチケット
fluent, 流暢な、ぺらぺらな
from, 〜から
ear, 耳
accoutrement, 装飾具
eliminate, 除外する
collegue, 同僚
class, 学級
box, 箱
contrive, 案出する、たくらむ、〜を工夫する
complement, 補語
cook, 料理する
enroll, 入学する
fall, 落ちる
age, 年令，老齢，時代
exclaim, 叫ぶ
disease, 病気
heap, 積み重ねる
coordinate, 座標、同等の、〜を調和的に働かせる
bus, バス
concede, 譲歩する、認める、与える
glad, 喜んで
heterogeneous, 異種の、異質の
formulate, 明確にする、明確に述べる
fruit, 果物
cooperative, 協力的・共同の
complete, 完成する
constellation, 星座
garden, 庭
at, ーで/に（場所）、〜において
become, 〜になる
boundary, 境界、限界
door, 扉
garage, ガレージ
galaxy, 銀河
highway, 幹線道路
certainly, 確かに、きっと
friend, 友達
commentary, 注釈、批評
breakfast, 朝食
compound, 混合の、混合物
during, 〜の期間中に
generation, 世代
hour, 1時間
automobile, 自動車
beautiful, 美しい
behalf, 利益
advertisement, 広告
bird, 鳥
between, 〜の間に
famous, 有名な
complicate, 複雑な
disaster, 災害
article, 記事、品物、冠詞
always, いつも
continental, 大陸的な;大陸の
face, 顔
accent, アクセント、強調
good, 良い
cupboard, 食器棚
before, 〜の前に
bubble, 泡
dioxide, 酸素
here, ここで、ここに
april, 四月
get, 得る
cast, 投げかける、投じる; 投げ［脱ぎ］すてる
boat, ボート
breadth, 幅
dismiss, 解雇する、捨てる
fulfill, はたす
direct, 向ける、指揮する、直接の
defective, 不完全な、欠点・欠陥のある
drill, ドリル、練習、訓練
clay, 粘土
dear, 親愛な
exotic, 異国情緒な、外国の
dark, 暗い
comparison, 比較、匹敵、類似
address, 挨拶する、提出・言及する
blue, 青い
clause, 箇条, 条項
her, 彼女の・彼女を
engineer, 技師、技術者
command, 命令
chalk, チョーク
consolation, 慰め
genuinely, 純粋に、心から
book, 本
detail, 詳細
guidance, 案内、指導
combination, 結合、組み合わせ
favor, 好意, 親切
black, 黒い
breath, 息，一息，風のそよぎ
hint, 手がかり、暗示
directly, 直接に，すぐに
alongside, 並んで
foretell, 予告する
drive, 運転する
compile, 編集する
fortunate, 幸運な
generous, 気前の良い、寛大な
already, すでに
corrupt, 汚れた、堕落させる
deeply, 深く，濃く
child, 子ども
